porosity£¨%£©,ED£¨gm/cc£©,LD£¨g/cm3£©,AOP£¨mm£©,S(%),Fe(%),Mn(%),FSP(cm),FT(cm),high(cm),C/N,NH3-Ninf(mg/L),TNinf(mg/L),T(¡æ),HRT£¨h£©,P£¨%£©,F£¨%£©,A£¨%£©,B£¨%£©,NH3-Nre(%),TNre(%)
48,2.19,2.17,11.5,0,0,0,30,30,54,5.92,23.56,30.58,28.3,72,43.78,1.13,20.21,2.78,88.28,70.3
44.26,3.44,3.54,6,0,24.12,0,30,55,60,2.3,24.99,42.48,23.76,72,45.86,6.3,11.99,9.22,19.87,36.5
44.26,3.44,3.54,6,0,24.12,0,30,55,60,4.74,24.91,42.57,23.76,72,45.86,6.3,11.99,9.22,31.35,55.49
44.26,3.44,3.54,6,0,24.12,0,30,55,60,7.25,24.82,43.98,23.76,72,45.86,6.3,11.99,9.22,34.59,54.87
44.26,3.44,3.54,6,0,24.12,0,30,55,60,9.76,24.5,43.52,23.76,72,45.86,6.3,11.99,9.22,33.51,54.63
47.6,2.59,2.6,20,8.02,6.98,0,32.5,5,60,10.13,42.12,43.73,23.76,96,17.56,3.34,43.07,11.99,45.04,43.4
46.4,2.19,2.17,20,0,0,0,32.5,5,60,9.93,42.12,44.73,23.76,96,22.65,1.58,49.54,10.65,43.92,42.85
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,31.1,31.1,25,24,45.86,6.3,11.99,9.22,17.55,7.14
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,31.9,31.9,25,12,45.86,6.3,11.99,9.22,19.07,15.43
40.96,2.65,2.65,15.41,0,0,0,20,20,55,0,30.9,30.9,25,8,45.86,6.3,11.99,9.22,25.64,21.36
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,33.6,33.6,25,12,45.86,6.3,11.99,9.22,5.85,4.84
40.96,2.65,2.65,15.41,0,0,0,20,20,55,5,32.8,32.8,25,12,45.86,6.3,11.99,9.22,16.17,12.44
40.96,2.65,2.65,15.41,0,0,0,20,20,55,10,33,33,25,12,45.86,6.3,11.99,9.22,19.62,17.1
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,31.1,31.1,25,12,45.86,6.3,11.99,9.22,25.47,20.98
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,31.8,47.4,25,36,45.86,6.3,11.99,9.22,22.36,21.36
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,31,46.6,25,24,45.86,6.3,11.99,9.22,14.61,19.31
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,32.1,47.7,25,12,45.86,6.3,11.99,9.22,9.64,12.72
40.96,2.65,2.65,15.41,0,0,0,20,20,55,1.7,30.6,46.2,25,8,45.86,6.3,11.99,9.22,11.87,6.76
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,31.1,31.1,25,24,52.31,4.79,14.72,4.94,37.81,25.87
